,date_pr,weekday_fa,holiday_inCal,date_gr,weekday_en,my_date
299,1396/10/24,یکشنبه,0,2018-01-14,Sunday,13961024
300,1396/10/25,دوشنبه,0,2018-01-15,Monday,13961025
301,1396/10/26,سه شنبه,0,2018-01-16,Tuesday,13961026
302,1396/10/27,چهارشنبه,0,2018-01-17,Wednesday,13961027
303,1396/10/28,پنجشنبه,0,2018-01-18,Thursday,13961028
304,1396/10/29,جمعه,0,2018-01-19,Friday,13961029
305,1396/10/30,شنبه,0,2018-01-20,Saturday,13961030
306,1396/11/01,یکشنبه,0,2018-01-21,Sunday,13961101
307,1396/11/02,دوشنبه,0,2018-01-22,Monday,13961102
308,1396/11/03,سه شنبه,0,2018-01-23,Tuesday,13961103
309,1396/11/04,چهارشنبه,0,2018-01-24,Wednesday,13961104
310,1396/11/05,پنجشنبه,0,2018-01-25,Thursday,13961105
311,1396/11/06,جمعه,0,2018-01-26,Friday,13961106
312,1396/11/07,شنبه,0,2018-01-27,Saturday,13961107
313,1396/11/08,یکشنبه,0,2018-01-28,Sunday,13961108
314,1396/11/09,دوشنبه,0,2018-01-29,Monday,13961109
315,1396/11/10,سه شنبه,0,2018-01-30,Tuesday,13961110
316,1396/11/11,چهارشنبه,0,2018-01-31,Wednesday,13961111
317,1396/11/12,پنجشنبه,0,2018-02-01,Thursday,13961112
318,1396/11/13,جمعه,0,2018-02-02,Friday,13961113
319,1396/11/14,شنبه,0,2018-02-03,Saturday,13961114
320,1396/11/15,یکشنبه,0,2018-02-04,Sunday,13961115
321,1396/11/16,دوشنبه,0,2018-02-05,Monday,13961116
322,1396/11/17,سه شنبه,0,2018-02-06,Tuesday,13961117
323,1396/11/18,چهارشنبه,0,2018-02-07,Wednesday,13961118
324,1396/11/19,پنجشنبه,0,2018-02-08,Thursday,13961119
325,1396/11/20,جمعه,0,2018-02-09,Friday,13961120
326,1396/11/21,شنبه,0,2018-02-10,Saturday,13961121
327,1396/11/22,یکشنبه,1,2018-02-11,Sunday,13961122
328,1396/11/23,دوشنبه,0,2018-02-12,Monday,13961123
329,1396/11/24,سه شنبه,0,2018-02-13,Tuesday,13961124
330,1396/11/25,چهارشنبه,0,2018-02-14,Wednesday,13961125
331,1396/11/26,پنجشنبه,0,2018-02-15,Thursday,13961126
332,1396/11/27,جمعه,0,2018-02-16,Friday,13961127
333,1396/11/28,شنبه,0,2018-02-17,Saturday,13961128
334,1396/11/29,یکشنبه,0,2018-02-18,Sunday,13961129
335,1396/11/30,دوشنبه,0,2018-02-19,Monday,13961130
336,1396/12/01,سه شنبه,1,2018-02-20,Tuesday,13961201
337,1396/12/02,چهارشنبه,0,2018-02-21,Wednesday,13961202
338,1396/12/03,پنجشنبه,0,2018-02-22,Thursday,13961203
339,1396/12/04,جمعه,0,2018-02-23,Friday,13961204
340,1396/12/05,شنبه,0,2018-02-24,Saturday,13961205
341,1396/12/06,یکشنبه,0,2018-02-25,Sunday,13961206
342,1396/12/07,دوشنبه,0,2018-02-26,Monday,13961207
343,1396/12/08,سه شنبه,0,2018-02-27,Tuesday,13961208
344,1396/12/09,چهارشنبه,0,2018-02-28,Wednesday,13961209
345,1396/12/10,پنجشنبه,0,2018-03-01,Thursday,13961210
346,1396/12/11,جمعه,0,2018-03-02,Friday,13961211
347,1396/12/12,شنبه,0,2018-03-03,Saturday,13961212
348,1396/12/13,یکشنبه,0,2018-03-04,Sunday,13961213
349,1396/12/14,دوشنبه,0,2018-03-05,Monday,13961214
350,1396/12/15,سه شنبه,0,2018-03-06,Tuesday,13961215
351,1396/12/16,چهارشنبه,0,2018-03-07,Wednesday,13961216
352,1396/12/17,پنجشنبه,0,2018-03-08,Thursday,13961217
353,1396/12/18,جمعه,0,2018-03-09,Friday,13961218
354,1396/12/19,شنبه,0,2018-03-10,Saturday,13961219
355,1396/12/20,یکشنبه,0,2018-03-11,Sunday,13961220
356,1396/12/21,دوشنبه,0,2018-03-12,Monday,13961221
357,1396/12/22,سه شنبه,0,2018-03-13,Tuesday,13961222
358,1396/12/23,چهارشنبه,0,2018-03-14,Wednesday,13961223
359,1396/12/24,پنجشنبه,0,2018-03-15,Thursday,13961224
360,1396/12/25,جمعه,0,2018-03-16,Friday,13961225
361,1396/12/26,شنبه,0,2018-03-17,Saturday,13961226
362,1396/12/27,یکشنبه,0,2018-03-18,Sunday,13961227
363,1396/12/28,دوشنبه,0,2018-03-19,Monday,13961228
364,1396/12/29,سه شنبه,1,2018-03-20,Tuesday,13961229
365,1397/01/01,چهارشنبه,1,2018-03-21,Wednesday,13970101
366,1397/01/02,پنجشنبه,1,2018-03-22,Thursday,13970102
367,1397/01/03,جمعه,1,2018-03-23,Friday,13970103
368,1397/01/04,شنبه,1,2018-03-24,Saturday,13970104
369,1397/01/05,یکشنبه,0,2018-03-25,Sunday,13970105
370,1397/01/06,دوشنبه,0,2018-03-26,Monday,13970106
371,1397/01/07,سه شنبه,0,2018-03-27,Tuesday,13970107
372,1397/01/08,چهارشنبه,0,2018-03-28,Wednesday,13970108
373,1397/01/09,پنجشنبه,0,2018-03-29,Thursday,13970109
374,1397/01/10,جمعه,1,2018-03-30,Friday,13970110
375,1397/01/11,شنبه,1,2018-03-31,Saturday,13970111
376,1397/01/12,یکشنبه,1,2018-04-01,Sunday,13970112
377,1397/01/13,دوشنبه,1,2018-04-02,Monday,13970113
378,1397/01/14,سه شنبه,0,2018-04-03,Tuesday,13970114
379,1397/01/15,چهارشنبه,0,2018-04-04,Wednesday,13970115
380,1397/01/16,پنجشنبه,0,2018-04-05,Thursday,13970116
381,1397/01/17,جمعه,1,2018-04-06,Friday,13970117
382,1397/01/18,شنبه,0,2018-04-07,Saturday,13970118
383,1397/01/19,یکشنبه,0,2018-04-08,Sunday,13970119
384,1397/01/20,دوشنبه,0,2018-04-09,Monday,13970120
385,1397/01/21,سه شنبه,0,2018-04-10,Tuesday,13970121
386,1397/01/22,چهارشنبه,0,2018-04-11,Wednesday,13970122
387,1397/01/23,پنجشنبه,0,2018-04-12,Thursday,13970123
388,1397/01/24,جمعه,1,2018-04-13,Friday,13970124
389,1397/01/25,شنبه,1,2018-04-14,Saturday,13970125
390,1397/01/26,یکشنبه,0,2018-04-15,Sunday,13970126
391,1397/01/27,دوشنبه,0,2018-04-16,Monday,13970127
392,1397/01/28,سه شنبه,0,2018-04-17,Tuesday,13970128
393,1397/01/29,چهارشنبه,0,2018-04-18,Wednesday,13970129
394,1397/01/30,پنجشنبه,0,2018-04-19,Thursday,13970130
395,1397/01/31,جمعه,1,2018-04-20,Friday,13970131
396,1397/02/01,شنبه,0,2018-04-21,Saturday,13970201
397,1397/02/02,یکشنبه,0,2018-04-22,Sunday,13970202
